(10000, 4) (10000, 1) (10000, 5)
(583, 5)
Epoch [136 / 5000] train loss: 0.019230, val loss: 0.020118
Epoch [137 / 5000] train loss: 0.019166, val loss: 0.020048
Epoch [138 / 5000] train loss: 0.019101, val loss: 0.019982
Epoch [139 / 5000] train loss: 0.019042, val loss: 0.019935
Epoch [140 / 5000] train loss: 0.018982, val loss: 0.019887
Epoch [141 / 5000] train loss: 0.018923, val loss: 0.019827
Epoch [142 / 5000] train loss: 0.018858, val loss: 0.019762
Epoch [143 / 5000] train loss: 0.018799, val loss: 0.019707
Epoch [144 / 5000] train loss: 0.018748, val loss: 0.019654
Epoch [145 / 5000] train loss: 0.018675, val loss: 0.019616
Epoch [146 / 5000] train loss: 0.018624, val loss: 0.019568
Epoch [147 / 5000] train loss: 0.018567, val loss: 0.019505
Epoch [148 / 5000] train loss: 0.018503, val loss: 0.019450
Epoch [149 / 5000] train loss: 0.018440, val loss: 0.019412
Epoch [150 / 5000] train loss: 0.018399, val loss: 0.019359
Epoch [151 / 5000] train loss: 0.018338, val loss: 0.019293
Epoch [152 / 5000] train loss: 0.018265, val loss: 0.019261
Epoch [153 / 5000] train loss: 0.018214, val loss: 0.019202
Epoch [154 / 5000] train loss: 0.018151, val loss: 0.019154
Epoch [155 / 5000] train loss: 0.018103, val loss: 0.019104
Epoch [156 / 5000] train loss: 0.018049, val loss: 0.019043
Epoch [157 / 5000] train loss: 0.017981, val loss: 0.019007
Epoch [158 / 5000] train loss: 0.017927, val loss: 0.018953
Epoch [159 / 5000] train loss: 0.017862, val loss: 0.018898
Epoch [160 / 5000] train loss: 0.017806, val loss: 0.018847
Epoch [161 / 5000] train loss: 0.017751, val loss: 0.018783
Epoch [162 / 5000] train loss: 0.017687, val loss: 0.018738
Epoch [163 / 5000] train loss: 0.017626, val loss: 0.018718
Epoch [164 / 5000] train loss: 0.017587, val loss: 0.018668
Epoch [165 / 5000] train loss: 0.017528, val loss: 0.018610
Epoch [166 / 5000] train loss: 0.017468, val loss: 0.018564
Epoch [167 / 5000] train loss: 0.017412, val loss: 0.018515
Epoch [168 / 5000] train loss: 0.017357, val loss: 0.018453
Epoch [169 / 5000] train loss: 0.017292, val loss: 0.018417
Epoch [170 / 5000] train loss: 0.017254, val loss: 0.018359
Epoch [171 / 5000] train loss: 0.017187, val loss: 0.018302
Epoch [172 / 5000] train loss: 0.017124, val loss: 0.018228
Epoch [173 / 5000] train loss: 0.017062, val loss: 0.018193
Epoch [174 / 5000] train loss: 0.017033, val loss: 0.018165
Epoch [175 / 5000] train loss: 0.016979, val loss: 0.018123
Epoch [176 / 5000] train loss: 0.016920, val loss: 0.018068
Epoch [177 / 5000] train loss: 0.016866, val loss: 0.018017
Epoch [178 / 5000] train loss: 0.016811, val loss: 0.017956
Epoch [179 / 5000] train loss: 0.016755, val loss: 0.017902
Epoch [180 / 5000] train loss: 0.016711, val loss: 0.017864
Epoch [181 / 5000] train loss: 0.016663, val loss: 0.017823
Epoch [182 / 5000] train loss: 0.016614, val loss: 0.017777
Epoch [183 / 5000] train loss: 0.016566, val loss: 0.017735
Epoch [184 / 5000] train loss: 0.016514, val loss: 0.017703
Epoch [185 / 5000] train loss: 0.016464, val loss: 0.017662
Epoch [186 / 5000] train loss: 0.016419, val loss: 0.017611
Epoch [187 / 5000] train loss: 0.016367, val loss: 0.017588
Epoch [188 / 5000] train loss: 0.016329, val loss: 0.017561
Epoch [189 / 5000] train loss: 0.016289, val loss: 0.017503
Epoch [190 / 5000] train loss: 0.016242, val loss: 0.017457
Epoch [191 / 5000] train loss: 0.016201, val loss: 0.017421
Epoch [192 / 5000] train loss: 0.016146, val loss: 0.017381
Epoch [193 / 5000] train loss: 0.016097, val loss: 0.017365
Epoch [194 / 5000] train loss: 0.016070, val loss: 0.017285
Epoch [195 / 5000] train loss: 0.016002, val loss: 0.017261
Epoch [196 / 5000] train loss: 0.015964, val loss: 0.017222
Epoch [197 / 5000] train loss: 0.015922, val loss: 0.017175
Epoch [198 / 5000] train loss: 0.015879, val loss: 0.017143
Epoch [199 / 5000] train loss: 0.015832, val loss: 0.017104
Epoch [200 / 5000] train loss: 0.015789, val loss: 0.017047
Epoch [201 / 5000] train loss: 0.015741, val loss: 0.017009
Epoch [202 / 5000] train loss: 0.015695, val loss: 0.016985
Epoch [203 / 5000] train loss: 0.015664, val loss: 0.016931
Epoch [204 / 5000] train loss: 0.015617, val loss: 0.016880
Epoch [205 / 5000] train loss: 0.015565, val loss: 0.016859
Epoch [206 / 5000] train loss: 0.015542, val loss: 0.016809
Epoch [207 / 5000] train loss: 0.015497, val loss: 0.016734
Epoch [208 / 5000] train loss: 0.015440, val loss: 0.016690
Epoch [209 / 5000] train loss: 0.015405, val loss: 0.016663
Epoch [210 / 5000] train loss: 0.015349, val loss: 0.016629
Epoch [211 / 5000] train loss: 0.015313, val loss: 0.016555
Epoch [212 / 5000] train loss: 0.015268, val loss: 0.016522
Epoch [213 / 5000] train loss: 0.015226, val loss: 0.016471
Epoch [214 / 5000] train loss: 0.015192, val loss: 0.016423
Epoch [215 / 5000] train loss: 0.015172, val loss: 0.016365
Epoch [216 / 5000] train loss: 0.015103, val loss: 0.016330
Epoch [217 / 5000] train loss: 0.015049, val loss: 0.016330
Epoch [218 / 5000] train loss: 0.015019, val loss: 0.016294
Epoch [219 / 5000] train loss: 0.014983, val loss: 0.016263
Epoch [220 / 5000] train loss: 0.014945, val loss: 0.016212
Epoch [221 / 5000] train loss: 0.014900, val loss: 0.016152
Epoch [222 / 5000] train loss: 0.014851, val loss: 0.016090
Epoch [223 / 5000] train loss: 0.014814, val loss: 0.016054
Epoch [224 / 5000] train loss: 0.014760, val loss: 0.016047
Epoch [225 / 5000] train loss: 0.014728, val loss: 0.015981
Epoch [226 / 5000] train loss: 0.014681, val loss: 0.015911
Epoch [227 / 5000] train loss: 0.014643, val loss: 0.015908
Epoch [228 / 5000] train loss: 0.014601, val loss: 0.015919
Epoch [229 / 5000] train loss: 0.014565, val loss: 0.015831
Epoch [230 / 5000] train loss: 0.014515, val loss: 0.015774
Epoch [231 / 5000] train loss: 0.014477, val loss: 0.015766
Epoch [232 / 5000] train loss: 0.014435, val loss: 0.015780
Epoch [233 / 5000] train loss: 0.014427, val loss: 0.015634
Epoch [234 / 5000] train loss: 0.014344, val loss: 0.015636
Epoch [235 / 5000] train loss: 0.014335, val loss: 0.015638
Epoch [236 / 5000] train loss: 0.014292, val loss: 0.015608
Epoch [237 / 5000] train loss: 0.014257, val loss: 0.015501
Epoch [238 / 5000] train loss: 0.014202, val loss: 0.015492
Epoch [239 / 5000] train loss: 0.014175, val loss: 0.015515
Epoch [240 / 5000] train loss: 0.014157, val loss: 0.015416
Epoch [241 / 5000] train loss: 0.014081, val loss: 0.015348
Epoch [242 / 5000] train loss: 0.014044, val loss: 0.015311
Epoch [243 / 5000] train loss: 0.013994, val loss: 0.015287
Epoch [244 / 5000] train loss: 0.013972, val loss: 0.015256
Epoch [245 / 5000] train loss: 0.013952, val loss: 0.015190
Epoch [246 / 5000] train loss: 0.013895, val loss: 0.015196
Epoch [247 / 5000] train loss: 0.013872, val loss: 0.015118
Epoch [248 / 5000] train loss: 0.013819, val loss: 0.015135
Epoch [249 / 5000] train loss: 0.013811, val loss: 0.015110
Epoch [250 / 5000] train loss: 0.013764, val loss: 0.015043
Epoch [251 / 5000] train loss: 0.013715, val loss: 0.014960
Epoch [252 / 5000] train loss: 0.013680, val loss: 0.014941
Epoch [253 / 5000] train loss: 0.013647, val loss: 0.014907
Epoch [254 / 5000] train loss: 0.013608, val loss: 0.014861
Epoch [255 / 5000] train loss: 0.013577, val loss: 0.014830
Epoch [256 / 5000] train loss: 0.013545, val loss: 0.014794
Epoch [257 / 5000] train loss: 0.013506, val loss: 0.014784
Epoch [258 / 5000] train loss: 0.013478, val loss: 0.014719
Epoch [259 / 5000] train loss: 0.013435, val loss: 0.014655
Epoch [260 / 5000] train loss: 0.013391, val loss: 0.014668
Epoch [261 / 5000] train loss: 0.013381, val loss: 0.014635
Epoch [262 / 5000] train loss: 0.013358, val loss: 0.014608
Epoch [263 / 5000] train loss: 0.013352, val loss: 0.014547
Epoch [264 / 5000] train loss: 0.013293, val loss: 0.014507
Epoch [265 / 5000] train loss: 0.013233, val loss: 0.014479
Epoch [266 / 5000] train loss: 0.013194, val loss: 0.014453
Epoch [267 / 5000] train loss: 0.013176, val loss: 0.014393
Epoch [268 / 5000] train loss: 0.013127, val loss: 0.014379
Epoch [269 / 5000] train loss: 0.013116, val loss: 0.014309
Epoch [270 / 5000] train loss: 0.013081, val loss: 0.014200
Epoch [271 / 5000] train loss: 0.013019, val loss: 0.014256
Epoch [272 / 5000] train loss: 0.013013, val loss: 0.014277
Epoch [273 / 5000] train loss: 0.012993, val loss: 0.014167
Epoch [274 / 5000] train loss: 0.012925, val loss: 0.014118
Epoch [275 / 5000] train loss: 0.012887, val loss: 0.014071
Epoch [276 / 5000] train loss: 0.012857, val loss: 0.013974
Epoch [277 / 5000] train loss: 0.012796, val loss: 0.013902
Epoch [278 / 5000] train loss: 0.012753, val loss: 0.013903
Epoch [279 / 5000] train loss: 0.012732, val loss: 0.013809
Epoch [280 / 5000] train loss: 0.012672, val loss: 0.013779
Epoch [281 / 5000] train loss: 0.012645, val loss: 0.013736
Epoch [282 / 5000] train loss: 0.012593, val loss: 0.013737
Epoch [283 / 5000] train loss: 0.012580, val loss: 0.013649
Epoch [284 / 5000] train loss: 0.012523, val loss: 0.013605
Epoch [285 / 5000] train loss: 0.012503, val loss: 0.013592
Epoch [286 / 5000] train loss: 0.012471, val loss: 0.013516
Epoch [287 / 5000] train loss: 0.012413, val loss: 0.013495
Epoch [288 / 5000] train loss: 0.012388, val loss: 0.013394
Epoch [289 / 5000] train loss: 0.012324, val loss: 0.013381
Epoch [290 / 5000] train loss: 0.012302, val loss: 0.013383
Epoch [291 / 5000] train loss: 0.012284, val loss: 0.013284
Epoch [292 / 5000] train loss: 0.012233, val loss: 0.013269
Epoch [293 / 5000] train loss: 0.012222, val loss: 0.013207
Epoch [294 / 5000] train loss: 0.012167, val loss: 0.013207
Epoch [295 / 5000] train loss: 0.012154, val loss: 0.013258
Epoch [296 / 5000] train loss: 0.012152, val loss: 0.013158
Epoch [297 / 5000] train loss: 0.012122, val loss: 0.013129
Epoch [298 / 5000] train loss: 0.012066, val loss: 0.013134
Epoch [299 / 5000] train loss: 0.012048, val loss: 0.013019
Epoch [300 / 5000] train loss: 0.012004, val loss: 0.012952
Epoch [301 / 5000] train loss: 0.011951, val loss: 0.012906
Epoch [302 / 5000] train loss: 0.011931, val loss: 0.012821
Epoch [303 / 5000] train loss: 0.011904, val loss: 0.012782
Epoch [304 / 5000] train loss: 0.011843, val loss: 0.012859
Epoch [305 / 5000] train loss: 0.011851, val loss: 0.012785
Epoch [306 / 5000] train loss: 0.011821, val loss: 0.012776
Epoch [307 / 5000] train loss: 0.011760, val loss: 0.012814
Epoch [308 / 5000] train loss: 0.011758, val loss: 0.012671
Epoch [309 / 5000] train loss: 0.011692, val loss: 0.012650
Epoch [310 / 5000] train loss: 0.011651, val loss: 0.012646
Epoch [311 / 5000] train loss: 0.011631, val loss: 0.012562
Epoch [312 / 5000] train loss: 0.011591, val loss: 0.012553
Epoch [313 / 5000] train loss: 0.011554, val loss: 0.012518
Epoch [314 / 5000] train loss: 0.011530, val loss: 0.012435
Epoch [315 / 5000] train loss: 0.011498, val loss: 0.012456
Epoch [316 / 5000] train loss: 0.011479, val loss: 0.012394
Epoch [317 / 5000] train loss: 0.011432, val loss: 0.012326
Epoch [318 / 5000] train loss: 0.011422, val loss: 0.012339
Epoch [319 / 5000] train loss: 0.011406, val loss: 0.012221
Epoch [320 / 5000] train loss: 0.011351, val loss: 0.012207
Epoch [321 / 5000] train loss: 0.011319, val loss: 0.012197
Epoch [322 / 5000] train loss: 0.011292, val loss: 0.012138
Epoch [323 / 5000] train loss: 0.011264, val loss: 0.012158
Epoch [324 / 5000] train loss: 0.011222, val loss: 0.012101
Epoch [325 / 5000] train loss: 0.011173, val loss: 0.012039
Epoch [326 / 5000] train loss: 0.011141, val loss: 0.012004
Epoch [327 / 5000] train loss: 0.011125, val loss: 0.011958
Epoch [328 / 5000] train loss: 0.011093, val loss: 0.011948
Epoch [329 / 5000] train loss: 0.011076, val loss: 0.011915
Epoch [330 / 5000] train loss: 0.011026, val loss: 0.011894
Epoch [331 / 5000] train loss: 0.010999, val loss: 0.011883
Epoch [332 / 5000] train loss: 0.011004, val loss: 0.011806
Epoch [333 / 5000] train loss: 0.010951, val loss: 0.011790
Epoch [334 / 5000] train loss: 0.010959, val loss: 0.011751
Epoch [335 / 5000] train loss: 0.010928, val loss: 0.011697
Epoch [336 / 5000] train loss: 0.010870, val loss: 0.011695
Epoch [337 / 5000] train loss: 0.010861, val loss: 0.011663
Epoch [338 / 5000] train loss: 0.010818, val loss: 0.011619
Epoch [339 / 5000] train loss: 0.010795, val loss: 0.011684
Epoch [340 / 5000] train loss: 0.010794, val loss: 0.011608
Epoch [341 / 5000] train loss: 0.010780, val loss: 0.011610
Epoch [342 / 5000] train loss: 0.010714, val loss: 0.011552
Epoch [343 / 5000] train loss: 0.010704, val loss: 0.011486
Epoch [344 / 5000] train loss: 0.010629, val loss: 0.011412
Epoch [345 / 5000] train loss: 0.010609, val loss: 0.011369
Epoch [346 / 5000] train loss: 0.010561, val loss: 0.011297
Epoch [347 / 5000] train loss: 0.010554, val loss: 0.011398
Epoch [348 / 5000] train loss: 0.010551, val loss: 0.011250
Epoch [349 / 5000] train loss: 0.010508, val loss: 0.011390
Epoch [350 / 5000] train loss: 0.010505, val loss: 0.011180
Epoch [351 / 5000] train loss: 0.010464, val loss: 0.011165
Epoch [352 / 5000] train loss: 0.010355, val loss: 0.011043
Epoch [353 / 5000] train loss: 0.010287, val loss: 0.011008
Epoch [354 / 5000] train loss: 0.010276, val loss: 0.010994
Epoch [355 / 5000] train loss: 0.010243, val loss: 0.010859
Epoch [356 / 5000] train loss: 0.010222, val loss: 0.010913
Epoch [357 / 5000] train loss: 0.010186, val loss: 0.010798
Epoch [358 / 5000] train loss: 0.010127, val loss: 0.010770
Epoch [359 / 5000] train loss: 0.010069, val loss: 0.010752
Epoch [360 / 5000] train loss: 0.010044, val loss: 0.010675
Epoch [361 / 5000] train loss: 0.010025, val loss: 0.010717
Epoch [362 / 5000] train loss: 0.010018, val loss: 0.010568
Epoch [363 / 5000] train loss: 0.009976, val loss: 0.010740
Epoch [364 / 5000] train loss: 0.010031, val loss: 0.010615
Epoch [365 / 5000] train loss: 0.010031, val loss: 0.010706
Epoch [366 / 5000] train loss: 0.009969, val loss: 0.010449
Epoch [367 / 5000] train loss: 0.009818, val loss: 0.010429
Epoch [368 / 5000] train loss: 0.009791, val loss: 0.010421
Epoch [369 / 5000] train loss: 0.009775, val loss: 0.010327
Epoch [370 / 5000] train loss: 0.009809, val loss: 0.010494
Epoch [371 / 5000] train loss: 0.009855, val loss: 0.010215
Epoch [372 / 5000] train loss: 0.009722, val loss: 0.010170
Epoch [373 / 5000] train loss: 0.009614, val loss: 0.010250
Epoch [374 / 5000] train loss: 0.009619, val loss: 0.010253
Epoch [375 / 5000] train loss: 0.009731, val loss: 0.010510
Epoch [376 / 5000] train loss: 0.009772, val loss: 0.010170
Epoch [377 / 5000] train loss: 0.009628, val loss: 0.010091
Epoch [378 / 5000] train loss: 0.009518, val loss: 0.010293
Epoch [379 / 5000] train loss: 0.009624, val loss: 0.010123
Epoch [380 / 5000] train loss: 0.009673, val loss: 0.010204
Epoch [381 / 5000] train loss: 0.009561, val loss: 0.009945
Epoch [382 / 5000] train loss: 0.009410, val loss: 0.009923
Epoch [383 / 5000] train loss: 0.009442, val loss: 0.010214
Epoch [384 / 5000] train loss: 0.009517, val loss: 0.009935
Epoch [385 / 5000] train loss: 0.009395, val loss: 0.009888
Epoch [386 / 5000] train loss: 0.009293, val loss: 0.009984
Epoch [387 / 5000] train loss: 0.009350, val loss: 0.009775
Epoch [388 / 5000] train loss: 0.009348, val loss: 0.009763
Epoch [389 / 5000] train loss: 0.009241, val loss: 0.009749
Epoch [390 / 5000] train loss: 0.009211, val loss: 0.009706
Epoch [391 / 5000] train loss: 0.009232, val loss: 0.009805
Epoch [392 / 5000] train loss: 0.009170, val loss: 0.009694
Epoch [393 / 5000] train loss: 0.009095, val loss: 0.009675
Epoch [394 / 5000] train loss: 0.009137, val loss: 0.009773
Epoch [395 / 5000] train loss: 0.009156, val loss: 0.009541
Epoch [396 / 5000] train loss: 0.009065, val loss: 0.009525
Epoch [397 / 5000] train loss: 0.009047, val loss: 0.009620
Epoch [398 / 5000] train loss: 0.009052, val loss: 0.009541
Epoch [399 / 5000] train loss: 0.009093, val loss: 0.009584
Epoch [400 / 5000] train loss: 0.008992, val loss: 0.009478
Epoch [401 / 5000] train loss: 0.008916, val loss: 0.009485
Epoch [402 / 5000] train loss: 0.008996, val loss: 0.009714
Epoch [403 / 5000] train loss: 0.009062, val loss: 0.009414
Epoch [404 / 5000] train loss: 0.008957, val loss: 0.009377
Epoch [405 / 5000] train loss: 0.008871, val loss: 0.009437
Epoch [406 / 5000] train loss: 0.008877, val loss: 0.009293
Epoch [407 / 5000] train loss: 0.008863, val loss: 0.009421
Epoch [408 / 5000] train loss: 0.008842, val loss: 0.009320
Epoch [409 / 5000] train loss: 0.008787, val loss: 0.009234
Epoch [410 / 5000] train loss: 0.008754, val loss: 0.009311
Epoch [411 / 5000] train loss: 0.008766, val loss: 0.009122
Epoch [412 / 5000] train loss: 0.008770, val loss: 0.009139
Epoch [413 / 5000] train loss: 0.008701, val loss: 0.009087
Epoch [414 / 5000] train loss: 0.008659, val loss: 0.009093
Epoch [415 / 5000] train loss: 0.008629, val loss: 0.009179
Epoch [416 / 5000] train loss: 0.008638, val loss: 0.009083
Epoch [417 / 5000] train loss: 0.008611, val loss: 0.009087
Epoch [418 / 5000] train loss: 0.008578, val loss: 0.009053
Epoch [419 / 5000] train loss: 0.008557, val loss: 0.009008
Epoch [420 / 5000] train loss: 0.008563, val loss: 0.009068
Epoch [421 / 5000] train loss: 0.008561, val loss: 0.008923
Epoch [422 / 5000] train loss: 0.008499, val loss: 0.008932
Epoch [423 / 5000] train loss: 0.008464, val loss: 0.008883
Epoch [424 / 5000] train loss: 0.008452, val loss: 0.008837
Epoch [425 / 5000] train loss: 0.008408, val loss: 0.008907
Epoch [426 / 5000] train loss: 0.008416, val loss: 0.008825
Epoch [427 / 5000] train loss: 0.008418, val loss: 0.008927
Epoch [428 / 5000] train loss: 0.008417, val loss: 0.008690
Epoch [429 / 5000] train loss: 0.008363, val loss: 0.008688
Epoch [430 / 5000] train loss: 0.008299, val loss: 0.008689
Epoch [431 / 5000] train loss: 0.008279, val loss: 0.008659
Epoch [432 / 5000] train loss: 0.008261, val loss: 0.008778
Epoch [433 / 5000] train loss: 0.008276, val loss: 0.008639
Epoch [434 / 5000] train loss: 0.008278, val loss: 0.008732
